name,recclass,mass,year,reclat,reclong,ID,MeteorClass,SecondClass,Group,Family,ChemGroup,PetroType,Breccia,PetroClass,MetaGrade,MarsType,Lithol,Melt,Other
Northwest Africa 6993,L6,47.7,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6996,L6,1533.74,2000,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7017,L6,4669.5,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7063,L6,188,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7064,L6,115,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7072,L6,507,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7073,L6,1575,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 708,L6,971,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7081,L6,292,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 709,L6,170,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7093,L6,40,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7101,L6,64,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7112,L6,1000,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 714,L6,2850,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7202,L6,691,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7215,L6,500,2010,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7219,L6,520,2010,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7236,L6,505,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7237,L6,558,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7336,L6,18000,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7389,L6,375,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7392,L6,365,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7393,L6,2490,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7395,L6,130.2,2007,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7448,L6,140,2003,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7449,L6,405,2009,24.13333,-13.16667,L6,chondrite,ordinary,L,,,6,0,,,,,,
