x,,,,,,,,label,label-2,group,petrologic type,family,brecciac,chemical group,anomalous,petrologic class,metamorphic grade
323,R chondrite that is petrologic type 5,,,,,,,,,,,,,,,,
324,"ordinary chondrite from the H group that is either petrologic type 4, type 5, or type 6",,,,,,,,,,,,,,,,
325,ordinary chondrite from the L group that has experienced secondary melting,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,
330,enstatite chondrite of the EH group which has been impact melted,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,
332, piece of fusion crust that became detached from a meteorite,,,,,,,,,,,,,,,,
333,aubrite with certain anomalous properties,,,,,,,,,,,,,,,,
334,R chondrite that is petrologic type 6,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,
340,enstatite chondrite of petrologic type 3 with anomalous properties that has not yet been classified into any group,,,,,,,,,,,,,,,,
341, Kakangari chondrite for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
342,enstatite chondrite of petrologic type 3 that has not yet been classified into any group,,,,,,,,,,,,,,,,
343, primitive achondrite belonging to the acapulcoite-lodranite family,,,,,,,,,,,,,,,,
344, carbonaceous chondrite of the CK group that is anomalous and petrologic type 4,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,
347, carbonaceous chondrite of the CB group,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,
349,enstatite chondrite of the EL group which has been melted,,,,,,,,,,,,,,,,
350,enstatite chondrite of the EH group that is petrologic type 6,,,,,,,,,,,,,,,,
351," pallasite that is neither a member of the main group nor the Eagle Station grouplet, and is therefore ungrouped",,,,,,,,,,,,,,,,
352,ordinary chondrite from either the L group or LL group that is either petrologic type 4 or type 5,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,
354,iron meteorite belonging to the IAB complex that has anomalous properties,,,,,,,,,,,,,,,,
355, carbonaceous chondrite that is either petrologic type 5 or type 6 and is ungrouped,,,,,,,,,,,,,,,,
356, carbonaceous chondrite of the CV group that is petrologic type 2,,,,,,,,,,,,,,,,
357,iron meteorite belonging to chemical group IC with anomalous properties,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,
360,R chondrite that is either petrologic type 3 or type 4,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,
